link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N3-14L,Bhaluka (Int.with Z3031)-Bharadoba (Int.with Z3037)   (Left) (Left),LRP070,1090,70.295,LRP074,2122,75.006,4.711,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3,90.3821382,24.3964163,90.3866108,24.4270827,90.3843745,24.4117495,POINT (90.3843745 24.4117495),"LINESTRING (90.3821382 24.3964163, 90.3866108 24.4270827)"
N3-14R,Bhaluka (Int.with Z3031)-Bharadoba (Int.with Z3037)   (Left) (Right),LRP070,1090,70.295,LRP074,2122,75.006,4.711,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3,90.3821382,24.3964163,90.3866108,24.4270827,90.3843745,24.4117495,POINT (90.3843745 24.4117495),"LINESTRING (90.3821382 24.3964163, 90.3866108 24.4270827)"
N3-15L,Bharadoba(Int.with Z3037)  -Bagarbazar  (Int.with Z3032)(Left) (Left),LRP074,2122,75.006,LRP074,6950,79.834,4.828,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3,90.3866108,24.4270827,90.3866108,24.4270827,90.3866108,24.4270827,POINT (90.3866108 24.4270827),"LINESTRING (90.3866108 24.4270827, 90.3866108 24.4270827)"
N3-15R,Bharadoba(Int.with Z3037)  -Bagarbazar  (Int.with Z3032)(Left) (Right),LRP074,2122,75.006,LRP074,6950,79.834,4.828,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3,90.3866108,24.4270827,90.3866108,24.4270827,90.3866108,24.4270827,POINT (90.3866108 24.4270827),"LINESTRING (90.3866108 24.4270827, 90.3866108 24.4270827)"
N3-16L,Bagarbazar (Int.with Z3032)-Trisal (Int.with Z3034)(Left) (Left),LRP074,6950,79.834,LRP083,9096,91.122,11.288,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3,90.3866108,24.4270827,90.3946386,24.5036944,90.39062469999999,24.46538855,POINT (90.39062469999999 24.46538855),"LINESTRING (90.3866108 24.4270827, 90.3946386 24.5036944)"
N3-16R,Bagarbazar (Int.with Z3032)-Trisal (Int.with Z3034)(Left) (Right),LRP074,6950,79.834,LRP083,9096,91.122,11.288,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3,90.3866108,24.4270827,90.3946386,24.5036944,90.39062469999999,24.46538855,POINT (90.39062469999999 24.46538855),"LINESTRING (90.3866108 24.4270827, 90.3946386 24.5036944)"
N3-17L,Trisal (Int.with Z3034)-Int.with N309(Left) (Left),LRP083,9096,91.122,LRP105,3129,106.584,15.462,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3,90.3946386,24.5036944,90.4098056,24.6889163,90.40222209999999,24.59630535,POINT (90.40222209999999 24.59630535),"LINESTRING (90.3946386 24.5036944, 90.4098056 24.6889163)"
N3-17R,Trisal (Int.with Z3034)-Int.with N309(Left) (Right),LRP083,9096,91.122,LRP105,3129,106.584,15.462,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3,90.3946386,24.5036944,90.4098056,24.6889163,90.40222209999999,24.59630535,POINT (90.40222209999999 24.59630535),"LINESTRING (90.3946386 24.5036944, 90.4098056 24.6889163)"
N3-18L,Int.with N309-Charpara More (Int.with R370)(Left) (Left),LRP105,3129,106.584,LRP111a,0,109.999,3.415,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3,90.4098056,24.6889163,90.4093056,24.746583,90.4095556,24.717749650000002,POINT (90.4095556 24.717749650000002),"LINESTRING (90.4098056 24.6889163, 90.4093056 24.746583)"
N3-18R,Int.with N309-Charpara More (Int.with R370)(Left) (Right),LRP105,3129,106.584,LRP111a,0,109.999,3.415,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3,90.4098056,24.6889163,90.4093056,24.746583,90.4095556,24.717749650000002,POINT (90.4095556 24.717749650000002),"LINESTRING (90.4098056 24.6889163, 90.4093056 24.746583)"
N3-19,"Charpara More(Int.with R370)-Mymensing, End of N3",LRP111a,0,109.999,LRP111a,1586,111.585,1.586,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3,90.4093056,24.746583,90.4093056,24.746583,90.4093056,24.746583,POINT (90.4093056 24.746583),"LINESTRING (90.4093056 24.746583, 90.4093056 24.746583)"
N302-1,Abdullahpur-Rana Bhola (Int.with R303),LRPS,0,0,LRPS,2375,2.375,2.375,474.0,5981.0,3318.0,1897.0,2101.0,2439.0,916.0,5383.0,2463.0,1705.0,81.0,659.0,0.0,26677.0,740.0,27417.0,27417.0,N302,90.4011389,23.8805827,90.4011389,23.8805827,90.4011389,23.8805827,POINT (90.4011389 23.8805827),"LINESTRING (90.4011389 23.8805827, 90.4011389 23.8805827)"
N302-2,Rana Bhola (Int.with R303)-Dhaur (Int.with N501),LRPS,2375,2.375,LRP005,601,5.514,3.139,236.0,4521.0,3381.0,1977.0,2086.0,3386.0,839.0,4874.0,1976.0,1197.0,145.0,406.0,1.0,24473.0,552.0,25025.0,25025.0,N302,90.4011389,23.8805827,90.3675549,23.8920552,90.3843469,23.886318950000003,POINT (90.3843469 23.886318950000003),"LINESTRING (90.4011389 23.8805827, 90.3675549 23.8920552)"
N302-3,Dhaur (Int.with N501)-Ashulia(Int.with N511),LRP005,601,5.514,LRP008,757,8.73,3.216,284.0,4946.0,3587.0,1975.0,1766.0,2501.0,1098.0,5443.0,2456.0,1992.0,73.0,832.0,0.0,26048.0,905.0,26953.0,26953.0,N302,90.3675549,23.8920552,90.3383886,23.8962774,90.35297175,23.894166300000002,POINT (90.35297175 23.894166300000002),"LINESTRING (90.3675549 23.8920552, 90.3383886 23.8962774)"
N302-4,Ashulia(Int.with N511)-Zerabo (Int.with Z3007),LRP008,757,8.73,LRP008,3397,11.37,2.640,284.0,4946.0,3587.0,1975.0,1766.0,2501.0,1098.0,5443.0,2456.0,1992.0,73.0,832.0,0.0,26048.0,905.0,26953.0,26953.0,N302,90.3383886,23.8962774,90.3383886,23.8962774,90.3383886,23.8962774,POINT (90.3383886 23.8962774),"LINESTRING (90.3383886 23.8962774, 90.3383886 23.8962774)"
N302-5,Zerabo(Int.with Z3007)-EPZ (Baipile Bazar),LRP008,3397,11.37,LRPE,0,17.555,6.185,289.0,4476.0,2925.0,1951.0,1897.0,2624.0,834.0,4892.0,2224.0,1812.0,428.0,4000.0,0.0,23924.0,4428.0,28352.0,28352.0,N302,90.3383886,23.8962774,90.2698327,23.9379441,90.30411065,23.91711075,POINT (90.30411065 23.91711075),"LINESTRING (90.3383886 23.8962774, 90.2698327 23.9379441)"
N210-1,Khadimnagar Bypass More (Int.with N2)- Int.with R250,LRPS,0,0,LRP007,1075,7.045,7.045,1.0,499.0,1030.0,1134.0,1805.0,1694.0,225.0,936.0,4844.0,1243.0,369.0,5282.0,74.0,13411.0,5725.0,19136.0,19136.0,N210,91.9495552,24.9162778,91.9304993,24.8673604,91.94002725,24.8918191,POINT (91.94002725 24.8918191),"LINESTRING (91.9495552 24.9162778, 91.9304993 24.8673604)"
N210-2,Int.with R250-Int. With N208 at Royal City Chottor,LRP007,1075,7.045,LRPE,0,10.844,3.799,1.0,499.0,1030.0,1134.0,1805.0,1694.0,225.0,936.0,4844.0,1243.0,369.0,5282.0,74.0,13411.0,5725.0,19136.0,19136.0,N210,91.9304993,24.8673604,91.8967497,24.8479997,91.9136245,24.85768005,POINT (91.9136245 24.85768005),"LINESTRING (91.9304993 24.8673604, 91.8967497 24.8479997)"
N509-1,Barobari-Lalmonirhat (Misson More) Int.with Z5901,LRPS,0,0,LRP013,50,12.03,12.030,0.0,88.0,93.0,20.0,77.0,40.0,19.0,29.0,624.0,627.0,577.0,612.0,0.0,1617.0,1189.0,2806.0,2806.0,N509,89.51025,25.8698049,89.433833,25.9114167,89.4720415,25.890610799999997,POINT (89.4720415 25.890610799999997),"LINESTRING (89.51025 25.8698049, 89.433833 25.9114167)"
N509-2,Lalmonirhat (Misson More)Int.with Z5901-Zilla Parishad More (Int.with Z5907),LRP013,50,12.03,LRP013,1825,13.805,1.775,27.0,250.0,322.0,67.0,126.0,111.0,132.0,87.0,1853.0,2339.0,2482.0,1347.0,7.0,5314.0,3836.0,9150.0,9150.0,N509,89.433833,25.9114167,89.433833,25.9114167,89.433833,25.9114167,POINT (89.433833 25.9114167),"LINESTRING (89.433833 25.9114167, 89.433833 25.9114167)"
N509-3,Zilla Parishad More (Int.with Z5907)-Barakhata(Int.with R560),LRP013,1825,13.805,LRP071,2980,72.97,59.165,27.0,250.0,322.0,67.0,126.0,111.0,132.0,87.0,1853.0,2339.0,2482.0,1347.0,7.0,5314.0,3836.0,9150.0,9150.0,N509,89.433833,25.9114167,89.1196382,26.1856663,89.2767356,26.0485415,POINT (89.2767356 26.0485415),"LINESTRING (89.433833 25.9114167, 89.1196382 26.1856663)"
N509-4,Barakhata(Int.with R560)-Patgram Bypass (Int.with Z5904),LRP071,2980,72.97,LRP091,1193,90.973,18.003,27.0,250.0,322.0,67.0,126.0,111.0,132.0,87.0,1853.0,2339.0,2482.0,1347.0,7.0,5314.0,3836.0,9150.0,9150.0,N509,89.1196382,26.1856663,89.0344441,26.3324993,89.07704115,26.2590828,POINT (89.07704115 26.2590828),"LINESTRING (89.1196382 26.1856663, 89.0344441 26.3324993)"
